,seed,WRW
0,0,354501188.38134253
1,1,391790839.3547245
2,2,368047567.20221317
3,3,374710814.2436011
4,4,337867911.5553441
5,5,337663549.86301494
6,6,404935108.8751419
7,7,368278479.3146736
8,8,379557562.4469012
9,9,340995711.8743966
10,10,390239624.7419137
11,11,369066013.346045
12,12,350019563.8691535
13,13,355505442.61651933
14,14,357127958.08764154
15,15,349967452.0319671
16,16,358474826.610011
17,17,384678451.84195006
18,18,357743689.6394937
19,19,333233745.669366
20,20,340135723.0681243
21,21,340377759.0856645
22,22,361222612.1113137
23,23,363190067.4918326
24,24,332379472.9389387
25,25,362692460.0281553
26,26,347492341.5408181
27,27,389629897.6039456
28,28,388934078.36447597
29,29,404987426.3725099
