,seed,WRW
0,0,2375752.923840648
1,1,2218832.694274478
2,2,2376442.273442944
3,3,3617276.169918569
4,4,2375752.923840648
5,5,2273722.797779039
6,6,2279897.6426544767
7,7,2273722.797779039
8,8,2279897.6426544767
9,9,2279897.6426544767
10,10,2439727.0960855195
11,11,2279897.6426544767
12,12,2147475.1385962036
13,13,2406042.176534756
14,14,3790932.966226219
15,15,2273722.797779039
16,16,2233969.605759525
17,17,2147475.1385962036
18,18,2273722.797779039
19,19,2279897.6426544767
20,20,2376442.273442944
21,21,2406042.176534756
22,22,2279897.6426544767
23,23,2279897.6426544767
24,24,2273722.797779039
25,25,2407743.7795969304
26,26,2233969.605759525
27,27,4077771.0768884085
28,28,2406042.176534756
29,29,2406042.176534756
