,seed,WRW
0,0,2406042.176534756
1,1,2406042.176534756
2,2,2273722.797779039
3,3,2279897.6426544767
4,4,2273722.797779039
5,5,2218832.694274478
6,6,2406042.176534756
7,7,2279897.6426544767
8,8,2273722.797779039
9,9,2147475.1385962036
10,10,2147475.1385962036
11,11,2375752.923840648
12,12,2539087.413771544
13,13,2147475.1385962036
14,14,2539087.413771544
15,15,2273722.797779039
16,16,2407743.7795969304
17,17,2279897.6426544767
18,18,2279897.6426544767
19,19,2279897.6426544767
20,20,2273722.797779039
21,21,2407743.7795969304
22,22,2376442.273442944
23,23,2147475.1385962036
24,24,2279897.6426544767
25,25,2279897.6426544767
26,26,2470685.177223929
27,27,2233969.605759525
28,28,2539087.413771544
29,29,2279897.6426544767
