,seed,WRW
0,0,455710522.3958228
1,1,428999618.47461927
2,2,501834630.8436506
3,3,438972884.88040817
4,4,443150729.4697312
5,5,450404334.73567855
6,6,445695647.9361354
7,7,460536184.74776804
8,8,515461453.84746456
9,9,479963732.43090737
10,10,498294959.31991357
11,11,439260686.48797166
12,12,476777016.2171848
13,13,433677230.4322494
14,14,495707444.48257244
15,15,412925562.29794425
16,16,451526560.9258832
17,17,439728553.4740652
18,18,504817106.75262547
19,19,539708333.3697627
20,20,501055362.3701538
21,21,459934519.21642643
22,22,449121054.6940721
23,23,418811783.0805725
24,24,452185242.35321295
25,25,427544361.98584545
26,26,420416563.7207641
27,27,404214429.64913285
28,28,445000716.60345924
29,29,435910548.5426358
