,seed,WRW
0,0,551509091.6177952
1,1,534469002.289466
2,2,571399096.7667261
3,3,505545942.47883296
4,4,503655256.6608943
5,5,560207720.9333222
6,6,552950105.1185229
7,7,545525343.0998821
8,8,536980141.0277148
9,9,567527201.5694814
10,10,522559703.46265423
11,11,496734240.76283616
12,12,490189241.13686186
13,13,497477708.07125527
14,14,498299232.8391932
15,15,496156206.65610564
16,16,535960255.4108962
17,17,518039103.6076472
18,18,569825946.7848973
19,19,532384886.44365776
20,20,528026079.41807914
21,21,522485028.4625058
22,22,562666497.0914475
23,23,547077136.9894581
24,24,510627183.12355787
25,25,583964155.2681553
26,26,511804464.5654489
27,27,573152782.4811109
28,28,516998422.2791142
29,29,555979982.9352553
