seed,S10
0,0.9460875962473088
1,0.9188459528348769
2,0.022356063881703747
3,0.3725313721574306
4,0.5494832879395073
5,0.7095432198277392
6,0.5241139364368452
7,0.4503140884059498
8,0.2338065954897237
9,0.48038162722473743
10,1.0
11,0.563860020549221
12,0.41718042801831157
13,0.6767358336445151
14,0.5151774225941734
15,0.3564319623467078
16,0.3795990790654571
17,0.30559883342614125
18,0.6310259887773704
19,0.6340937622929168
20,0.0
21,0.5320317527002976
22,0.6340937622929168
23,0.4452406862221361
24,0.32338817994721847
25,0.18253891184857807
26,0.6784661202986824
27,0.6701164024061672
28,0.5727496154857601
29,0.2542683976541369
