,seed,WRW
0,0,62868358032.49361
1,1,64740311916.06825
2,2,62057014540.18851
3,3,63534048273.11305
4,4,64632246106.08371
5,5,61399033829.60706
6,6,61916476077.0628
7,7,63825577000.105675
8,8,62513803532.67504
9,9,64319699827.30571
10,10,63655829926.406944
11,11,64286996866.745636
12,12,62976309259.46781
13,13,62818623091.67214
14,14,64285748841.31242
15,15,64352273968.80501
16,16,62290131292.4604
17,17,64358530043.8905
18,18,62515610061.714966
19,19,62671309054.4141
20,20,64377922475.22256
21,21,64999331500.974655
22,22,63690930913.83224
23,23,63175045883.02166
24,24,65547942939.23398
25,25,63751691355.25353
26,26,62745978831.31288
27,27,62036208559.086075
28,28,64586823058.21279
29,29,61576440849.21463
