,seed,WRW
0,0,4380496.1540754
1,1,6426272.027076191
2,2,4834752.683762149
3,3,4984641.685930273
4,4,9330039.262556195
5,5,6792895.355975389
6,6,11239495.735700076
7,7,8069314.402805348
8,8,4983676.875461632
9,9,7170659.269151008
10,10,4118544.1947685154
11,11,5522638.371290503
12,12,3718359.7781917816
13,13,7000677.155995288
14,14,5676607.72970609
15,15,4767652.668926042
16,16,5443914.264293248
17,17,8367952.080068677
18,18,7201013.728818778
19,19,8247006.937047181
20,20,7914817.535799011
21,21,7115920.656714413
22,22,5247862.622170021
23,23,7167218.937436465
24,24,5133005.718364007
25,25,5519776.069189697
26,26,6716315.587375092
27,27,6127098.982548059
28,28,5216130.121986023
29,29,7544233.232628595
