,seed,WRW
0,0,2376442.273442944
1,1,2273722.797779039
2,2,2279897.6426544767
3,3,2218832.694274478
4,4,2406042.176534756
5,5,2375752.923840648
6,6,2406042.176534756
7,7,2375752.923840648
8,8,2407743.7795969304
9,9,2147475.1385962036
10,10,2406042.176534756
11,11,2279897.6426544767
12,12,2279897.6426544767
13,13,2279897.6426544767
14,14,2375752.923840648
15,15,2376442.273442944
16,16,2375752.923840648
17,17,2470685.177223929
18,18,2539087.413771544
19,19,2279897.6426544767
20,20,2539087.413771544
21,21,2406042.176534756
22,22,2406042.176534756
23,23,2376442.273442944
24,24,2618196.97916196
25,25,2218832.694274478
26,26,2279897.6426544767
27,27,2406042.176534756
28,28,2439727.0960855195
29,29,2375752.923840648
