seed,S10,S100
0,0.3841760081537735,0.6768185068789379
1,0.8056983528795638,0.8803983645709028
2,0.6206826744549312,0.4303416548141712
3,0.5930948879949243,0.8533913933597432
4,0.26681543800516616,0.7105611616483589
5,0.2197974898902848,0.0
6,0.8623448320381484,0.623077459110494
7,0.1025531823603969,0.3024525300091234
8,0.7304947987291319,0.8399222107749935
9,0.7407695883178089,1.0
10,0.46127408639585243,0.4094443060466837
11,0.3779093229467867,0.9581742062679695
12,0.6928247357775961,0.2079008609980253
13,0.130965236099003,0.882086609880897
14,0.4327692091082749,0.7964008476793598
15,0.8213549775193045,0.696675667663726
16,0.3544957067961547,0.5229804659184776
17,0.4504593019776555,0.3158717707189158
18,0.9019978359997922,0.977983177450449
19,0.4090128358935248,0.8664109657125021
20,0.4171768569400236,0.3243176078377541
21,0.34931916275391695,0.36228397045855765
22,0.5732817897049358,0.3754890033041587
23,0.27920754272892134,0.35994538255222075
24,0.32137162162849653,0.8635335575414071
25,0.0,0.763036826872959
26,0.5973056262993028,0.43158950893273307
27,0.503787213230664,0.496627888935377
28,0.11944887919029612,0.6535897016004739
29,1.0,0.5863542696957715
