seed,S10,S100,S1000
0,0.1492633056913718,0.5952695326571664,0.8065577718308603
1,0.6668956458340064,0.5656565746611903,0.6955079274953562
2,0.6412808582731678,0.8517750336449623,0.7086669815518647
3,0.5029092721270875,0.49147553713456205,0.902899607228349
4,0.8071113599639129,0.9032402006146327,0.551944354723112
5,0.6324030022517101,0.8891676930501387,0.7162814510094435
6,0.46352972985495844,0.2609889688883733,0.8960901258372758
7,0.0,0.8924206535624233,0.5343850819624691
8,0.35224342792176755,0.5146530623409529,0.7967590557648165
9,0.7329998233220022,0.7440698849487202,0.6700707552924356
10,0.6837771435198224,0.8979035233035546,0.8528051498207816
11,0.1798191786937159,1.0,0.8497658626048121
12,0.7573677082356479,0.6296934921026498,0.5535894777132668
13,0.5798475357080689,0.6801316280911234,0.7061250263915113
14,0.4195226106179294,0.6575605706974486,0.7517304765290902
15,0.5350955200053719,0.7428788267841018,0.2819715852211644
16,0.5394607102027636,0.7541041142857559,1.0
17,0.6306802716429277,0.8330053658811885,0.40168035019673454
18,0.9999999999999999,0.6161607101804076,0.2330580308480279
19,0.16243322267240445,0.5814532087006601,0.6887428570948302
20,0.699105671602985,0.6913634056732754,0.581427531861344
21,0.1307801980680069,0.0,0.0
22,0.49611663822477114,0.5352378881699593,0.6813961576540635
23,0.4907953096516843,0.5627715381963458,0.05517617091761906
24,0.11596080163370748,0.9430213431660768,0.5490024899498849
25,0.41371120944626016,0.9417276161637975,0.8864418757999744
26,0.4883335732280464,0.903700721983201,0.5755510686958232
27,0.5233412025996752,0.9829272970717007,0.7550779060602011
28,0.7515843613726313,0.6987797866838701,0.6497598470581636
29,0.8306369847402945,0.9509283497818881,0.7243430006180347
