,seed,WRW
0,0,337824501.0503311
1,1,332775435.6835631
2,2,317949849.8644049
3,3,314210944.75790095
4,4,319593314.51858926
5,5,307243422.3968071
6,6,300036710.4095151
7,7,307937430.9793845
8,8,324562724.53601944
9,9,310733826.11611795
10,10,315607761.2664281
11,11,328987550.1437574
12,12,392830588.0130036
13,13,348128521.9053527
14,14,386016411.7599287
15,15,299262405.7709119
16,16,324868716.9618145
17,17,331098050.8473839
18,18,337249899.62374294
19,19,293178258.3022473
20,20,297412913.7350505
21,21,351990701.7999851
22,22,312694181.25603807
23,23,309851795.3249049
24,24,330149780.3183071
25,25,335061427.41899383
26,26,327996759.4555143
27,27,300470492.9205226
28,28,262052266.34189224
29,29,347628992.38582146
