,seed,WRW
0,0,827655409.6961904
1,1,848817647.2361829
2,2,769823367.4482791
3,3,798182867.4494076
4,4,867591204.056602
5,5,824004995.9208865
6,6,852938891.1448412
7,7,1068568025.874851
8,8,836980370.585268
9,9,832894106.4621737
10,10,844238402.7166224
11,11,894148348.1386259
12,12,910282649.7491889
13,13,777835683.4346998
14,14,734221645.1923451
15,15,796436285.117944
16,16,786100613.2871294
17,17,852839130.9437201
18,18,841748726.1251678
19,19,837967852.9711695
20,20,814598795.9307795
21,21,872231699.5261993
22,22,777771783.6270356
23,23,885168863.4365754
24,24,790820703.2433267
25,25,857890872.5005842
26,26,885768013.4920661
27,27,807269504.2622681
28,28,813833535.6717625
29,29,802827660.705472
