,seed,WRW
0,0,974806421.736754
1,1,995914468.4572306
2,2,949250627.7211633
3,3,993114268.0023985
4,4,978305007.2128453
5,5,904630929.7875433
6,6,969234315.733909
7,7,935990525.9997519
8,8,991717724.4616532
9,9,1008315287.1683956
10,10,947083899.5432426
11,11,1003978606.6233459
12,12,926186996.9590491
13,13,996089513.0872986
14,14,987205239.8967437
15,15,976865298.692133
16,16,958855823.3190393
17,17,937381891.3492861
18,18,1006032487.0707772
19,19,994464193.9951677
20,20,938257592.543496
21,21,942194110.4539223
22,22,943563265.7987117
23,23,941951635.4696753
24,24,994165851.7780254
25,25,983745912.8397906
26,26,949380010.6735512
27,27,956123473.309217
28,28,972397957.9887314
29,29,965426695.4384682
