,seed,WRW
0,0,937636061.0588236
1,1,938193693.8367188
2,2,883246957.4877759
3,3,971015839.2234006
4,4,964610291.8241127
5,5,904630929.7875433
6,6,961056860.054451
7,7,935990525.9997519
8,8,956128577.9929781
9,9,937307727.1013446
10,10,928797942.1035523
11,11,942688916.495069
12,12,926186996.9590491
13,13,892906369.9543779
14,14,936135396.7507164
15,15,930936378.9713929
16,16,939266233.0024419
17,17,921836233.4244261
18,18,958465144.184602
19,19,935485407.188376
20,20,938257592.543496
21,21,934836255.7310406
22,22,917699540.6720998
23,23,941951635.4696753
24,24,925595758.4681749
25,25,939740848.3268933
26,26,944253544.9407144
27,27,894699938.4965365
28,28,933955693.5342715
29,29,939451943.0190287
