,seed,WRW
0,0,58362508983.29984
1,1,54627990068.206566
2,2,55128287712.20036
3,3,55909671847.784065
4,4,56287318494.37792
5,5,56451108734.01531
6,6,54316945173.21522
7,7,56760686446.996796
8,8,53819830789.06536
9,9,54120024653.55345
10,10,54649856660.01867
11,11,56508249692.90726
12,12,55650092841.95353
13,13,58996595223.5165
14,14,57246012761.39937
15,15,54362265475.19107
16,16,57498705654.41517
17,17,55188903493.269684
18,18,55226115574.305756
19,19,59112222154.42695
20,20,56080778140.8243
21,21,56566944482.368195
22,22,55615977542.98316
23,23,56148782137.786865
24,24,55342561828.94819
25,25,58272616425.687836
26,26,52935157127.54656
27,27,55313518630.69888
28,28,56847545887.84775
29,29,55429498365.925575
