,seed,WRW
0,0,1003868021.1503394
1,1,1000799920.3544729
2,2,1030443709.1255747
3,3,993114268.0023985
4,4,1035775845.1371312
5,5,1034317839.0958458
6,6,969234315.733909
7,7,1034654867.5932359
8,8,995515614.8567588
9,9,1019284734.3119552
10,10,1035222929.6226586
11,11,1045800808.4502349
12,12,1007434573.9204447
13,13,1012660302.6432997
14,14,1010321789.9164555
15,15,1019161332.7083977
16,16,1020324347.6805031
17,17,1028499045.8260822
18,18,1006032487.0707772
19,19,1002436557.4467583
20,20,1013823990.0312154
21,21,942194110.4539223
22,22,997648340.6897314
23,23,1000501011.2527511
24,24,1039897437.9594069
25,25,1039763399.1765921
26,26,1035823558.2354851
27,27,1044031962.0739617
28,28,1014592376.7788057
29,29,1040716656.805906
