,seed,WRW
0,0,2273722.797779039
1,1,2273722.797779039
2,2,3455654.557587864
3,3,2539087.413771544
4,4,2375752.923840648
5,5,2439727.0960855195
6,6,2403066.7130484246
7,7,2147475.1385962036
8,8,2439727.0960855195
9,9,2233969.605759525
10,10,2279897.6426544767
11,11,2233969.605759525
12,12,2470685.177223929
13,13,2279897.6426544767
14,14,2470685.177223929
15,15,2406042.176534756
16,16,2403066.7130484246
17,17,2406042.176534756
18,18,2618196.97916196
19,19,2218832.694274478
20,20,2376442.273442944
21,21,2279897.6426544767
22,22,2618196.97916196
23,23,2279897.6426544767
24,24,2147475.1385962036
25,25,2539087.413771544
26,26,2279897.6426544767
27,27,2470685.177223929
28,28,2279897.6426544767
29,29,2273722.797779039
