,seed,WRW
0,0,2375752.923840648
1,1,2404137.749226078
2,2,3811542.635245785
3,3,2351526.177025445
4,4,2441938.0686944434
5,5,2422414.8672457943
6,6,2699709.553208225
7,7,4036054.2968436703
8,8,3169536.587555444
9,9,2273722.797779039
10,10,2147475.1385962036
11,11,2279897.6426544767
12,12,2538903.042232641
13,13,2852275.2783878315
14,14,2376442.273442944
15,15,2279897.6426544767
16,16,2493039.703965727
17,17,2460284.7301958534
18,18,3372628.327629304
19,19,2273722.797779039
20,20,4077771.0768884085
21,21,2780667.1998537006
22,22,2966339.2534010224
23,23,3888841.705834942
24,24,2476464.57987598
25,25,3736809.7704046
26,26,2249959.9653933686
27,27,2952812.2414307934
28,28,2233969.605759525
29,29,2404137.749226078
