,seed,WRW
0,0,90648135030.12187
1,1,93018903364.02432
2,2,85494976302.47871
3,3,91426713900.41145
4,4,91227984890.59798
5,5,91090769378.90051
6,6,88615275118.86874
7,7,92876415096.03561
8,8,91132262683.89081
9,9,87655646200.10098
10,10,91941427652.95044
11,11,88430817437.9893
12,12,91156950169.33365
13,13,89548535317.09003
14,14,90841014444.38095
15,15,92631501740.25806
16,16,89727789467.84232
17,17,89512548959.2331
18,18,92750805920.95992
19,19,89694268247.2789
20,20,92305995398.32256
21,21,88931171001.35216
22,22,90410023255.40216
23,23,94494641141.75557
24,24,92808067715.72173
25,25,89984120901.13052
26,26,92059179780.98682
27,27,88315893809.07101
28,28,93448716810.05124
29,29,90702669404.44601
