,seed,WRW
0,0,1000289433.3457692
1,1,1116623043.6158972
2,2,1088972958.6761522
3,3,1098972746.3322496
4,4,1156877562.2615423
5,5,1089625341.562825
6,6,1239584815.9823933
7,7,1134693157.883646
8,8,1090151580.9405942
9,9,1035831079.869142
10,10,1095425530.5776105
11,11,1091644669.6597598
12,12,1093906485.1093345
13,13,999078669.8723353
14,14,1046093287.58966
15,15,1045941794.6561725
16,16,1079493781.575059
17,17,1009486485.8641903
18,18,1168749526.3738613
19,19,989773630.9273901
20,20,1183583862.008079
21,21,1132054511.3766322
22,22,1169345222.987589
23,23,1046943732.8926551
24,24,1077549750.0746143
25,25,1024166358.3893976
26,26,1051836929.4199674
27,27,1115818973.7341287
28,28,1053050852.8117346
29,29,1091760691.4656925
