,seed,WRW
0,0,105959908646.9754
1,1,103348361500.36449
2,2,106019489116.94844
3,3,102570914220.43579
4,4,105964238437.91324
5,5,101716336415.92567
6,6,104561503382.48203
7,7,103451522178.36497
8,8,103715953572.69362
9,9,103399895484.17563
10,10,105686933356.5054
11,11,101272564665.86037
12,12,104085688231.06598
13,13,99676340047.17058
14,14,105880673671.245
15,15,101686167968.49205
16,16,102307015275.6139
17,17,102178700628.19472
18,18,102501923919.30415
19,19,105852650984.43654
20,20,106507218970.70982
21,21,107340514036.22836
22,22,104741312757.56201
23,23,101918421792.67717
24,24,106336486187.9512
25,25,104246335261.24551
26,26,104183671406.60043
27,27,105472140149.40517
28,28,106949812176.52332
29,29,100966259576.22522
